GEOID,GEO.display.label,pop,pop.white,pop.not.white,pct.white,pct.not.white
17031081800,17031081800,6866,5783,1083,0.842266239,0.157733761
17031081900,17031081900,1053,428,625,0.40645774,0.59354226
17031090100,17031090100,3405,3175,230,0.932452276,0.067547724
17031090200,17031090200,6564,6192,372,0.943327239,0.056672761
17031090300,17031090300,1372,1290,82,0.940233236,0.059766764
17031100100,17031100100,5313,4649,664,0.875023527,0.124976473
17031100200,17031100200,6749,6216,533,0.921025337,0.078974663
17031100400,17031100400,3066,2792,274,0.910632746,0.089367254
17031100500,17031100500,5779,5083,696,0.879563938,0.120436062
17031100600,17031100600,4832,4179,653,0.864859272,0.135140728
17031100700,17031100700,4826,4119,707,0.853501865,0.146498135
17031110200,17031110200,2828,2244,584,0.793493635,0.206506365
17031110300,17031110300,5161,4174,987,0.808757993,0.191242007
17031110501,17031110501,4639,3422,1217,0.737658978,0.262341022
17031110502,17031110502,3214,2450,764,0.762289981,0.237710019
17031120100,17031120100,4198,3788,410,0.902334445,0.097665555
17031120200,17031120200,4430,3863,567,0.872009029,0.127990971
17031120300,17031120300,6365,5036,1329,0.791201885,0.208798115
17031120400,17031120400,3515,2504,1011,0.712375533,0.287624467
17031130100,17031130100,5133,3393,1740,0.661016949,0.338983051
17031130200,17031130200,1412,1033,379,0.731586402,0.268413598
17031130300,17031130300,5064,2495,2569,0.492693523,0.507306477
17031140301,17031140301,2891,981,1910,0.339328952,0.660671048
17031140302,17031140302,4345,1988,2357,0.457537399,0.542462601
17031140400,17031140400,6805,4017,2788,0.590301249,0.409698751
17031140500,17031140500,3679,2220,1459,0.603424844,0.396575156
17031140800,17031140800,6825,4377,2448,0.641318681,0.358681319
17031150200,17031150200,7540,5561,1979,0.737533156,0.262466844
17031150300,17031150300,7198,5830,1368,0.809947208,0.190052792
17031150401,17031150401,4793,3818,975,0.796578343,0.203421657
17031150402,17031150402,3886,2988,898,0.76891405,0.23108595
17031150502,17031150502,4205,3237,968,0.76979786,0.23020214
17031150600,17031150600,4163,3155,1008,0.757866923,0.242133077
17031150700,17031150700,4608,3226,1382,0.700086806,0.299913194
17031150800,17031150800,5280,3622,1658,0.685984848,0.314015152
17031151001,17031151001,2819,1616,1203,0.573252927,0.426747073
17031151002,17031151002,4567,2718,1849,0.595139041,0.404860959
17031151100,17031151100,5458,3752,1706,0.687431294,0.312568706
17031151200,17031151200,3884,2910,974,0.7492276,0.2507724
17031160100,17031160100,2485,1761,724,0.708651911,0.291348089
17031160200,17031160200,3443,2587,856,0.751379611,0.248620389
17031160300,17031160300,3785,2608,1177,0.689035667,0.310964333
17031160400,17031160400,4768,3159,1609,0.662541946,0.337458054
17031160502,17031160502,3550,1879,1671,0.529295775,0.470704225
17031160800,17031160800,5148,2876,2272,0.558663559,0.441336441
17031160900,17031160900,2405,1808,597,0.751767152,0.248232848
17031161200,17031161200,2930,1681,1249,0.573720137,0.426279863
17031161300,17031161300,4117,2639,1478,0.641000729,0.358999271
17031170100,17031170100,1752,1557,195,0.88869863,0.11130137
17031170200,17031170200,3892,3201,691,0.822456321,0.177543679
17031170300,17031170300,5129,4200,929,0.818873075,0.181126925
17031170400,17031170400,3870,3331,539,0.860723514,0.139276486
17031170500,17031170500,4980,4392,588,0.881927711,0.118072289
17031170700,17031170700,2980,2609,371,0.875503356,0.124496644
17031170800,17031170800,3721,3131,590,0.841440473,0.158559527
17031170900,17031170900,1713,1311,402,0.765323993,0.234676007
17031171000,17031171000,7287,5984,1303,0.821188418,0.178811582
17031171100,17031171100,4110,3047,1063,0.74136253,0.25863747
17031180100,17031180100,6156,4382,1774,0.711825861,0.288174139
17031190100,17031190100,2488,1305,1183,0.524517685,0.475482315
17031190200,17031190200,5853,3067,2786,0.524004784,0.475995216
17031190300,17031190300,5794,3783,2011,0.65291681,0.34708319
17031190401,17031190401,4257,2427,1830,0.570119803,0.429880197
17031190402,17031190402,5458,3007,2451,0.550934408,0.449065592
17031190601,17031190601,4545,2292,2253,0.504290429,0.495709571
17031190602,17031190602,5516,2828,2688,0.512690355,0.487309645
17031190701,17031190701,2955,1235,1720,0.417935702,0.582064298
17031190702,17031190702,4869,2142,2727,0.439926063,0.560073937
17031190800,17031190800,6632,3107,3525,0.468486128,0.531513872
17031190900,17031190900,2040,991,1049,0.485784314,0.514215686
17031191000,17031191000,2559,1217,1342,0.475576397,0.524423603
17031191100,17031191100,7414,3073,4341,0.414486107,0.585513893
17031191200,17031191200,3853,1438,2415,0.373215676,0.626784324
17031191302,17031191302,5034,1879,3155,0.37326182,0.62673818
17031200100,17031200100,4354,2343,2011,0.538125861,0.461874139
17031200200,17031200200,5427,2323,3104,0.42804496,0.57195504
17031210400,17031210400,3035,1860,1175,0.612850082,0.387149918
17031210501,17031210501,3900,2436,1464,0.624615385,0.375384615
17031210502,17031210502,4486,2852,1634,0.635755684,0.364244316
17031210601,17031210601,3104,1771,1333,0.570554124,0.429445876
17031210800,17031210800,1196,637,559,0.532608696,0.467391304
17031220300,17031220300,2102,1520,582,0.723120837,0.276879163
17031220400,17031220400,2495,1871,624,0.7498998,0.2501002
17031220602,17031220602,5064,3283,1781,0.648301738,0.351698262
17031220701,17031220701,3437,1751,1686,0.509455921,0.490544079
17031220702,17031220702,4060,2077,1983,0.511576355,0.488423645
17031221000,17031221000,2923,1349,1574,0.461512145,0.538487855
17031221100,17031221100,4870,2875,1995,0.590349076,0.409650924
17031222700,17031222700,2235,1154,1081,0.516331096,0.483668904
17031230200,17031230200,2107,946,1161,0.448979592,0.551020408
17031230400,17031230400,2609,1227,1382,0.470295132,0.529704868
17031230600,17031230600,6818,1705,5113,0.250073335,0.749926665
17031230700,17031230700,6364,2041,4323,0.320710245,0.679289755
17031230900,17031230900,5399,2075,3324,0.384330432,0.615669568
17031231100,17031231100,1236,134,1102,0.108414239,0.891585761
17031231200,17031231200,6095,629,5466,0.103199344,0.896800656
17031231500,17031231500,6039,195,5844,0.032290114,0.967709886
17031240300,17031240300,1317,1165,152,0.884586181,0.115413819
17031240800,17031240800,1617,804,813,0.497217069,0.502782931
17031241300,17031241300,1857,1440,417,0.775444265,0.224555735
17031241500,17031241500,2872,2250,622,0.783426184,0.216573816
17031242200,17031242200,3590,2823,767,0.786350975,0.213649025
17031242800,17031242800,1436,1246,190,0.867688022,0.132311978
17031243000,17031243000,2204,1589,615,0.720961887,0.279038113
17031243100,17031243100,2242,1396,846,0.622658341,0.377341659
17031243200,17031243200,2170,1383,787,0.637327189,0.362672811
17031250300,17031250300,4725,512,4213,0.108359788,0.891640212
17031250400,17031250400,5887,353,5534,0.05996263,0.94003737
17031250500,17031250500,7538,3835,3703,0.508755638,0.491244362
17031250600,17031250600,4422,130,4292,0.029398462,0.970601538
17031251000,17031251000,1181,28,1153,0.023708721,0.976291279
17031251200,17031251200,4196,120,4076,0.028598665,0.971401335
17031251300,17031251300,4921,114,4807,0.023166023,0.976833977
17031251400,17031251400,3983,205,3778,0.051468742,0.948531258
17031251500,17031251500,4784,97,4687,0.02027592,0.97972408
17031251800,17031251800,5112,25,5087,0.004890454,0.995109546
17031251900,17031251900,5731,104,5627,0.01814692,0.98185308
17031252102,17031252102,6438,29,6409,0.004504505,0.995495495
17031260400,17031260400,1271,8,1263,0.006294256,0.993705744
17031260900,17031260900,1480,20,1460,0.013513514,0.986486486
17031261000,17031261000,2319,8,2311,0.003449763,0.996550237
17031271200,17031271200,1170,40,1130,0.034188034,0.965811966
17031271300,17031271300,1045,13,1032,0.012440191,0.987559809
17031271500,17031271500,1397,21,1376,0.015032212,0.984967788
17031271800,17031271800,970,19,951,0.019587629,0.980412371
17031280100,17031280100,4872,3745,1127,0.768678161,0.231321839
17031280400,17031280400,1366,120,1246,0.087847731,0.912152269
17031282800,17031282800,1691,858,833,0.507392076,0.492607924
17031291200,17031291200,2240,26,2214,0.011607143,0.988392857
17031292200,17031292200,2961,67,2894,0.022627491,0.977372509
17031300700,17031300700,5194,1876,3318,0.361185984,0.638814016
17031300900,17031300900,5050,2153,2897,0.426336634,0.573663366
17031301200,17031301200,4012,1691,2321,0.421485543,0.578514457
17031301600,17031301600,4654,2141,2513,0.460034379,0.539965621
17031301701,17031301701,4381,2199,2182,0.501940196,0.498059804
17031301801,17031301801,4005,1789,2216,0.446691635,0.553308365
17031301802,17031301802,3518,1549,1969,0.440306993,0.559693007
17031310500,17031310500,1700,712,988,0.418823529,0.581176471
17031320100,17031320100,10848,7495,3353,0.690910767,0.309089233
17031320400,17031320400,2518,1777,741,0.705718824,0.294281176
17031340300,17031340300,1786,378,1408,0.211646137,0.788353863
17031340400,17031340400,1900,330,1570,0.173684211,0.826315789
17031350100,17031350100,2144,158,1986,0.07369403,0.92630597
17031351100,17031351100,1960,19,1941,0.009693878,0.990306122
17031351400,17031351400,1437,33,1404,0.022964509,0.977035491
17031351500,17031351500,255,36,219,0.141176471,0.858823529
17031390100,17031390100,1268,51,1217,0.04022082,0.95977918
17031390600,17031390600,1866,869,997,0.465702036,0.534297964
17031400300,17031400300,1567,9,1558,0.005743459,0.994256541
17031410200,17031410200,1443,762,681,0.528066528,0.471933472
17031410500,17031410500,2557,839,1718,0.328118889,0.671881111
17031410600,17031410600,2327,1231,1096,0.529007306,0.470992694
17031410700,17031410700,2154,1261,893,0.58542247,0.41457753
17031410800,17031410800,2662,1084,1578,0.407212622,0.592787378
17031410900,17031410900,2838,1369,1469,0.482381959,0.517618041
